"Name","Postsecondary Enrollment"
"Description","The postsecondary enrollment rate shows the percentage of students who graduated and enrolled in a two- or four-year college, vocational program, approved apprenticeship or public service
<strong>within 6 or 18 months</strong> of their scheduled graduation date. For the 2019-20 data, the 6 month rate evaluates students who first entered high school during the 2015-16 school year / &ldquo;Class of 2019&rdquo;; the 18 month rate evaluates students who first entered high school during the 2014-15
school year / &ldquo;Class of 2018&rdquo;.<br />
<br />
CCC's analysis represents the&nbsp;<strong><em>average&nbsp;</em></strong>postsecondary enrollment rate from all high schools (public and charter) within a given geography."
"Source Notes","CCC analysis of New York City Department of Education, School Quality Report Results for high schools (school years 2015-16 to 2019-20); retrieved from&nbsp;<a href=""https://infohub.nyced.org/reports/school-quality/school-quality-reports-and-resources/school-quality-report-citywide-data"" target=""_blank"">https://infohub.nyced.org/reports/school-quality/school-quality-reports-and-resources/school-quality-report-citywide-data</a>."
"Notes",""

Location,Total,TimeFrame,DataFormat,Data,Fips
The Rockaways,Within 6 months,2016,Percent,0.46,414
St. George,Within 6 months,2016,Percent,0.44,501
South Beach,Within 6 months,2016,Percent,0.72,502
Tottenville,Within 6 months,2016,Percent,0.65,503
Bronx,Within 6 months,2016,Percent,0.51,36005
Brooklyn,Within 6 months,2016,Percent,0.56,36047
Manhattan,Within 6 months,2016,Percent,0.63,36061
Queens,Within 6 months,2016,Percent,0.64,36081
Staten Island,Within 6 months,2016,Percent,0.63,36085
New York City,Within 6 months,2016,Percent,0.57,3651000
Lower East Side,Within 6 months,2017,Percent,0.69,SD1
"Stuyvesant Town, Upper E. Side",Within 6 months,2017,Percent,0.67,SD2
Upper West Side,Within 6 months,2017,Percent,0.55,SD3
East Harlem,Within 6 months,2017,Percent,0.63,SD4
Central Harlem,Within 6 months,2017,Percent,0.68,SD5
Washington Heights,Within 6 months,2017,Percent,0.53,SD6
Mott Haven,Within 6 months,2017,Percent,0.57,SD7
"Hunts Point, Port Morris",Within 6 months,2017,Percent,0.44,SD8
"East Tremont, Morris Heights",Within 6 months,2017,Percent,0.54,SD9
"Riverdale, Kingsbridge, Fordham",Within 6 months,2017,Percent,0.58,SD10
"Eastchester, Baychester, Co-op City",Within 6 months,2017,Percent,0.54,SD11
"Crotona Park, Morrisania, Melrose",Within 6 months,2017,Percent,0.47,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 6 months,2017,Percent,0.67,SD13
"Williamsburg, Greenpoint",Within 6 months,2017,Percent,0.52,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 6 months,2017,Percent,0.66,SD15
Bedford Stuyvesant,Within 6 months,2017,Percent,0.36,SD16
Crown Heights,Within 6 months,2017,Percent,0.58,SD17
"East Flatbush, Canarsie",Within 6 months,2017,Percent,0.51,SD18
East New York,Within 6 months,2017,Percent,0.46,SD19
"Bay Ridge, Bensonhurst",Within 6 months,2017,Percent,0.66,SD20
"Gravesend, Coney Island",Within 6 months,2017,Percent,0.57,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 6 months,2017,Percent,0.73,SD22
"Brownsville, Ocean Hill",Within 6 months,2017,Percent,0.48,SD23
"Sunnyside, Woodside, Jackson Hts",Within 6 months,2017,Percent,0.69,SD24
"Flushing, Whitestone",Within 6 months,2017,Percent,0.75,SD25
"Bayside, Douglaston, Little Neck",Within 6 months,2017,Percent,0.72,SD26
"Jamaica, Howard Beach, Rockaways",Within 6 months,2017,Percent,0.49,SD27
"Jamaica, Forest Hills",Within 6 months,2017,Percent,0.74,SD28
"Queens Village, Rosedale, Hollis",Within 6 months,2017,Percent,0.56,SD29
"Long Island City, Astoria",Within 6 months,2017,Percent,0.72,SD30
Staten Island,Within 6 months,2017,Percent,0.62,SD31
Bushwick,Within 6 months,2017,Percent,0.54,SD32
Battery Park/Tribeca,Within 6 months,2017,Percent,0.64,101
Greenwich Village,Within 6 months,2017,Percent,0.67,102
Lower East Side,Within 6 months,2017,Percent,0.69,103
Chelsea/Clinton,Within 6 months,2017,Percent,0.67,104
Midtown Business District,Within 6 months,2017,Percent,0.72,105
Murray Hill/Stuyvesant,Within 6 months,2017,Percent,0.69,106
Upper West Side,Within 6 months,2017,Percent,0.6,107
Upper East Side,Within 6 months,2017,Percent,0.64,108
Manhattanville,Within 6 months,2017,Percent,0.74,109
Central Harlem,Within 6 months,2017,Percent,0.53,110
East Harlem,Within 6 months,2017,Percent,0.63,111
Washington Heights,Within 6 months,2017,Percent,0.5,112
Mott Haven,Within 6 months,2017,Percent,0.56,201
Hunts Point,Within 6 months,2017,Percent,0.48,202
Morrisania,Within 6 months,2017,Percent,0.5,203
